CustomerKey,CustomerID,Country
1,12346,United Kingdom
2,12347,Iceland
3,12348,Finland
4,12350,Norway
5,12352,Norway
6,12356,Portugal
7,12359,Cyprus
8,12361,Belgium
9,12362,Belgium
10,12365,Cyprus
11,12370,Cyprus
12,12370,Austria
13,12372,Denmark
14,12373,Austria
15,12377,Switzerland
16,12383,Belgium
17,12386,Australia
18,12388,Australia
19,12393,Australia
20,12395,Belgium
21,12399,Belgium
22,12401,Belgium
23,12402,Belgium
24,12407,Belgium
25,12408,Belgium
26,12410,Switzerland
27,12413,France
28,12414,Austria
29,12415,Australia
30,12417,Belgium
31,12421,Spain
32,12422,Australia
33,12423,Belgium
34,12427,Germany
35,12428,Finland
36,12429,Denmark
37,12431,Belgium
38,12431,Australia
39,12433,Norway
40,12434,Australia
41,12435,Denmark
42,12437,France
43,12441,France
44,12451,Switzerland
45,12455,Cyprus
46,12456,Switzerland
47,12458,Switzerland
48,12462,Spain
49,12464,Belgium
50,12468,Germany
51,12471,Germany
52,12472,Germany
53,12474,Germany
54,12476,Germany
55,12477,Germany
56,12480,Germany
57,12481,Germany
58,12483,Sweden
59,12484,Spain
60,12489,France
61,12490,France
62,12494,France
63,12500,Germany
64,12501,Germany
65,12502,Spain
66,12507,Spain
67,12509,France
68,12510,Spain
69,12514,Italy
70,12515,Italy
71,12520,Germany
72,12523,France
73,12524,Germany
74,12527,Germany
75,12528,Germany
76,12530,Germany
77,12539,Spain
78,12540,Spain
79,12541,Spain
80,12545,Spain
81,12547,Spain
82,12551,Spain
83,12553,France
84,12557,Spain
85,12559,Germany
86,12561,Germany
87,12564,France
88,12565,Saudi Arabia
89,12567,France
90,12574,France
91,12576,Poland
92,12577,France
93,12578,Italy
94,12582,Finland
95,12583,France
96,12584,Italy
97,12585,Germany
98,12591,Italy
99,12594,Italy
100,12597,Spain
101,12598,France
102,12599,France
103,12600,Germany
104,12601,Germany
105,12604,France
106,12609,Germany
107,12613,Germany
108,12614,Germany
109,12616,France
110,12621,Germany
111,12623,Germany
112,12625,Germany
113,12626,Germany
114,12633,Germany
115,12637,France
116,12643,France
117,12645,Germany
118,12647,Germany
119,12651,France
120,12652,France
121,12653,Israel
122,12654,Germany
123,12662,Germany
124,12664,Finland
125,12665,Germany
126,12668,Germany
127,12669,France
128,12672,France
129,12673,Germany
130,12676,Sweden
131,12678,France
132,12679,France
133,12681,France
134,12682,France
135,12683,France
136,12686,France
137,12691,France
138,12693,Germany
139,12705,Germany
140,12707,France
141,12708,Germany
142,12709,Germany
143,12712,Germany
144,12714,France
145,12720,Germany
146,12721,France
147,12724,France
148,12725,Italy
149,12726,France
150,12727,France
151,12728,France
152,12731,France
153,12734,France
154,12735,France
155,12736,France
156,12738,Germany
157,12744,Singapore
158,12747,United Kingdom
159,12748,United Kingdom
160,12753,Japan
161,12754,Japan
162,12755,Japan
163,12758,Portugal
164,12759,Netherlands
165,12763,Japan
166,12764,Lebanon
167,12766,Portugal
168,12775,Netherlands
169,12778,Netherlands
170,12779,Poland
171,12781,Czech Republic
172,12782,Portugal
173,12785,Portugal
174,12791,Netherlands
175,12792,Portugal
176,12793,Portugal
177,12797,Portugal
178,12808,Portugal
179,12811,Portugal
180,12817,Austria
181,12818,Austria
182,12820,United Kingdom
183,12823,United Kingdom
184,12826,United Kingdom
185,12829,United Kingdom
186,12831,United Kingdom
187,12834,United Kingdom
188,12836,United Kingdom
189,12838,United Kingdom
190,12839,United Kingdom
191,12841,United Kingdom
192,12842,United Kingdom
193,12843,United Kingdom
194,12845,United Kingdom
195,12849,United Kingdom
196,12852,United Kingdom
197,12853,United Kingdom
198,12854,United Kingdom
199,12855,United Kingdom
200,12857,United Kingdom
201,12866,Belgium
202,12867,United Kingdom
203,12868,United Kingdom
204,12872,United Kingdom
205,12873,United Kingdom
206,12875,United Kingdom
207,12877,United Kingdom
208,12878,United Kingdom
209,12881,United Kingdom
210,12888,United Kingdom
211,12891,United Kingdom
212,12897,United Kingdom
213,12901,United Kingdom
214,12902,United Kingdom
215,12908,United Kingdom
216,12913,United Kingdom
217,12915,United Kingdom
218,12916,United Kingdom
219,12921,United Kingdom
220,12924,United Kingdom
221,12928,United Kingdom
222,12929,United Kingdom
223,12931,United Kingdom
224,12933,United Kingdom
225,12935,United Kingdom
226,12937,United Kingdom
227,12939,United Kingdom
228,12942,United Kingdom
229,12944,United Kingdom
230,12945,United Kingdom
231,12947,United Kingdom
232,12948,United Kingdom
233,12951,United Kingdom
234,12955,United Kingdom
235,12956,United Kingdom
236,12957,United Kingdom
237,12963,United Kingdom
238,12967,United Kingdom
239,12970,United Kingdom
240,12971,United Kingdom
241,12980,United Kingdom
242,12988,United Kingdom
243,12989,United Kingdom
244,12990,United Kingdom
245,12993,United Kingdom
246,12994,United Kingdom
247,12997,United Kingdom
248,13000,United Kingdom
249,13001,United Kingdom
250,13002,United Kingdom
251,13004,United Kingdom
252,13008,United Kingdom
253,13011,United Kingdom
254,13012,United Kingdom
255,13013,United Kingdom
256,13014,United Kingdom
257,13018,United Kingdom
258,13021,United Kingdom
259,13026,United Kingdom
260,13027,United Kingdom
261,13029,United Kingdom
262,13030,United Kingdom
263,13033,United Kingdom
264,13034,United Kingdom
265,13035,United Kingdom
266,13037,United Kingdom
267,13038,United Kingdom
268,13043,United Kingdom
269,13044,United Kingdom
