Country,2010,2011
Australia,1032.85,137488.46
Austria,277.2,9921.48
Bahrain,0.0,548.4
Belgium,1809.91,39386.43
Brazil,0.0,1143.6
Canada,0.0,3666.38
Channel Islands,363.53,20086.91
Cyprus,1590.82,11999.56
Czech Republic,0.0,826.74
Denmark,1281.5,17673.84
EIRE,8813.880000000001,256732.02
European Community,0.0,1300.25
Finland,892.8,21653.28
France,9616.31,199407.74
Germany,15241.14,213626.0
Greece,0.0,4760.52
Iceland,711.79,3598.21
Israel,0.0,7221.69
Italy,811.5,16671.74
Japan,7705.07,29711.3
Lebanon,0.0,1693.88
Lithuania,1661.06,0.0
Malta,0.0,2725.59
Netherlands,8784.48,276661.86
Norway,3787.12,32378.32
Poland,248.16,7086.49
Portugal,2439.9700000000003,30999.920000000002
RSA,0.0,1002.3100000000001
Saudi Arabia,0.0,145.92
Singapore,0.0,21279.29
Spain,1843.73,59733.38
Sweden,3834.2999999999997,34544.03
Switzerland,1304.92,55139.03
USA,0.0,3580.39
United Arab Emirates,0.0,1902.28
United Kingdom,498661.85,6809729.704
Unspecified,0.0,2667.07
